"ID","Season","Song","Plays"
"6vo7Y1iWyZvpjvFbf6BiZ5","Fall","Pritam ~ Kalank (Title Track)",78
"3YPhgbRDotBitv4FQBnoum","Winter","Mauve ~ Just Stay",76
"43zdsphuZLzwA9k4DJhU0I","Fall","Billie Eilish ~ when the party's over",75
"5iwz1NiezX7WWjnCgY5TH4","Spring","Pedro Capo ~ Calma - Remix",72
"18uwL0vNUanqZH0ro2QcOP","Winter","Jeremy Zucker ~ comethru",72
"6vo7Y1iWyZvpjvFbf6BiZ5","Summer","Pritam ~ Kalank (Title Track)",71
"0LbZdD11qz49uey5wNoxBF","Winter","Lil Ca$h Machine ~ Tropical Vibes",66
"6vo7Y1iWyZvpjvFbf6BiZ5","Spring","Pritam ~ Kalank (Title Track)",65
"1UMQ9VXdKGiAHIGD5fWX2B","Summer","Quinn XCII ~ Iron & Steel",65
"43zdsphuZLzwA9k4DJhU0I","Summer","Billie Eilish ~ when the party's over",57
"2R0FW1n6cOkQDJhAkQENsf","Winter","Ed Sheeran ~ Perfect",56
"18uwL0vNUanqZH0ro2QcOP","Spring","Jeremy Zucker ~ comethru",54
"4RtexJZ1OyRkDNlqVUt8Zt","Summer","Quinn XCII ~ Panama",53
"7vGGAJBkHKxKtOnGjQduDV","Fall","Khalid ~ Saturday Nights",51
"18uwL0vNUanqZH0ro2QcOP","Fall","Jeremy Zucker ~ comethru",50
"7cM9Kqto11iJpY2RwgVJSq","Summer","Quinn XCII ~ Flare Guns",49
"1sjXaEmqj5cRMns8rWYnKe","Summer","Shoffy ~ I Can't Help",49
"18uwL0vNUanqZH0ro2QcOP","Summer","Jeremy Zucker ~ comethru",49
"4OBZT9EnhYIV17t4pGw7ig","Fall","Daniel Caesar ~ Best Part (feat. H.E.R.)",46
"1sjXaEmqj5cRMns8rWYnKe","Fall","Shoffy ~ I Can't Help",46
"0u2P5u6lvoDfwTYjAADbn4","Fall","Billie Eilish ~ lovely (with Khalid)",46
"3YPhgbRDotBitv4FQBnoum","Spring","Mauve ~ Just Stay",46
"4VuS959DSpr82t3qBqCrWG","Summer","Ed Sheeran ~ Supermarket Flowers",46
"7wC5eZcFS1Q1BsQ35DU6H4","Fall","Billie Eilish ~ come out and play",45
"5NlV5HVIfgk5eHxvAGGTfy","Spring","Jeremy Zucker ~ better off",45
"1EzrEOXmMH3G43AXT1y7pA","Summer","Jason Mraz ~ I'm Yours",45
"1EzrEOXmMH3G43AXT1y7pA","Fall","Jason Mraz ~ I'm Yours",43
"43zdsphuZLzwA9k4DJhU0I","Spring","Billie Eilish ~ when the party's over",43
"1fu5IQSRgPxJL2OTP7FVLW","Summer","Ed Sheeran ~ I See Fire",43
"51LIqkda3pTeECZUhMnool","Summer","Quinn XCII ~ Straightjacket",43
"7bdYxWPCs46dQ0XLwySOyv","Summer","Jeremy Zucker ~ better off",43
"4CxFN5zON70B3VOPBYbd6P","Fall","Jeremy Zucker ~ you were good to me",42
