"ID","Season","Song","Plays"
"3117368871850072767","Fall","Aries ~ FOOL'S GOLD",114
"-7112868873506923562","Spring","Aries ~ CAROUSEL",102
"-2934231020509623613","Fall","Jack Harlow ~ ROTTEN (feat. EST Gee)",97
"5353614233426575459","Spring","Domo Genesis ~ Dapper (feat. Anderson .Paak)",92
"1534529616501777666","Fall","Jack Harlow ~ SUNDAY NIGHT",91
"4560100326171154104","Spring","Chance the Rapper ~ Angels (feat. Saba)",88
"-7547773181388504425","Summer","Travis Scott ~ 90210 (feat. Kacy Hill)",86
"-9060615071802939509","Summer","Jack Harlow ~ 9TH GRADE",84
"1315809098859326988","Fall","Jack Harlow ~ RIVER ROAD",81
"-1202929444212598654","Fall","Bryson Tiller ~ Sorrows",80
"2254605089718199087","Fall","Joey Bada$$ ~ Christ Conscious",79
"-7619085766075425127","Summer","Jack Harlow ~ KNACK FOR IT",79
"-9203341155707195814","Summer","Joey Bada$$ ~ Paper Trail$",79
"-7255467956761312242","Summer","Mick Jenkins ~ The Waters",79
"5208279393582725718","Fall","Rick Ross, Kanye West ~ Devil In a New Dress (feat. Rick Ross)",78
"-1277588673424505421","Summer","Jack Harlow ~ SYLVIA (feat. 2forwOyNE)",78
"5927296127319531333","Spring","Kendrick Lamar ~ PRIDE.",77
"5854717422762308582","Fall","Jack Harlow ~ GHOST",76
"-6970256401839895317","Fall","Jack Harlow ~ WARSAW (feat. 2forwOyNE)",75
"-8050743871628674212","Fall","Travis Scott ~ wonderful",75
"7802613987942686882","Fall","Mick Jenkins ~ P's & Q's",74
"-7546369227948372800","Summer","Frank Ocean ~ Nights",74
"3261127345118166897","Fall","Travis Scott ~ sweet sweet",73
"7660254505791841725","Winter","PnB Rock ~ Selfish",73
"6651481132368300815","Fall","Jack Harlow ~ HEAVY HITTER",72
"-1781819309166782707","Fall","Mick Jenkins ~ The Waters",70
"-7690100959764339411","Fall","NxWorries, Knxwledge, Anderson .Paak ~ What More Can I Say",70
"5872292946386908664","Winter","Aries ~ DITTO",70
"22352661643645789","Fall","Mick Jenkins ~ Spread Love",69
"-4806567983614034485","Summer","Frank Ocean ~ Pink + White",69
"9098219274373916532","Fall","whiterosemoxie ~ Coco Puffs",68
"-5598797839564838581","Summer","Travis Scott ~ goosebumps",68
"7080697987254583559","Spring","Kendrick Lamar ~ HUMBLE.",67
"7299306543608980925","Summer","Joey Bada$$ ~ Big Dusty",67
"8812983542193054094","Spring","Joey Bada$$ ~ TEMPTATION",66
"-1202500470013175319","Spring","Travis Scott ~ sweet sweet",66
"-6321027503239780392","Spring","whiterosemoxie ~ whitegold",66
"-7113865807776761847","Summer","Mick Jenkins ~ Healer (feat. Jean Deaux)",66
"-8986953381999639866","Fall","Earl Sweatshirt ~ Faucet",64
"-3293750251114220329","Summer","Kendrick Lamar ~ Poe Mans Dreams (His Vice) [feat. GLC]",64
"-5456061980752331959","Winter","Bryson Tiller ~ Don't",64
"-3220233705599529073","Spring","Kendrick Lamar ~ DNA.",63
"-2719910250082426244","Summer","Joey Bada$$ ~ Christ Conscious",63
"1028487710011221848","Fall","Earl Sweatshirt ~ Grief",62
"2615963656345147133","Spring","Isaiah Rashad ~ Shot You Down (feat. Jay Rock & ScHoolboy Q)",62
"3120405999657699147","Winter","Bryson Tiller ~ Exchange",62
"-1925559145517840896","Fall","Mick Jenkins ~ Alchemy",60
"5642466977215500122","Spring","Chance the Rapper ~ All We Got (feat. Kanye West & Chicago Children's Choir)",60
"-8844034752784679826","Spring","Kendrick Lamar ~ DUCKWORTH.",60
"-2503286470638935698","Spring","Drake ~ Feel No Ways",60
"6576472183260249834","Spring","Aries ~ SANTA MONICA",60
"-842606269327056930","Summer","Jack Harlow ~ CAN'T CALL IT",60
"-338275294957751338","Summer","Joey Bada$$ ~ Hazeus View",60
