"Year","Album","Plays"
"2020","The Weeknd ~ After Hours",824
"2019","Travis Scott ~ ASTROWORLD",695
"2020","Travis Scott ~ ASTROWORLD",671
"2017","Kendrick Lamar ~ DAMN.",517
"2018","SOB X RBE ~ Black Panther The Album Music From And Inspired By",465
"2022","Kendrick Lamar ~ To Pimp A Butterfly",432
"2021","Kid Cudi ~ Man On The Moon: The End Of Day",417
"2021","Jack Harlow ~ Confetti",412
"2020","Kid Cudi ~ Man On The Moon: The End Of Day",371
"2020","Bryson Tiller ~ T R A P S O U L",371
"2022","Kendrick Lamar ~ Mr. Morale & The Big Steppers",362
"2021","The Weeknd ~ After Hours",357
"2021","Baby Keem ~ DIE FOR MY BITCH",329
"2020","Travis Scott ~ Birds In The Trap Sing McKnight",325
"2020","Travis Scott ~ Rodeo",306
"2022","Cage The Elephant ~ Melophobia",290
"2022","Baby Keem ~ The Melodic Blue",287
"2021","Kid Cudi ~ Man On The Moon III: The Chosen",285
"2018","Logic ~ Bobby Tarantino II",271
"2019","Zacari ~ Black Panther The Album Music From And Inspired By",271
"2017","Logic ~ Everybody",267
"2021","Kanye West ~ Donda",267
"2020","Kid Cudi ~ Man On The Moon III: The Chosen",260
"2021","Travis Scott ~ ASTROWORLD",249
"2022","Kanye West ~ Graduation",249
"2018","Kendrick Lamar ~ DAMN.",238
"2018","Travis Scott ~ ASTROWORLD",237
"2020","Kanye West ~ The Life Of Pablo",233
"2021","Cage The Elephant ~ Melophobia",232
"2020","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",230
"2020","Kanye West ~ My Beautiful Dark Twisted Fantasy",210
"2020","The Weeknd ~ My Dear Melancholy,",210
"2022","Kanye West ~ Donda",209
"2021","Travis Scott ~ Rodeo",207
"2019","Kendrick Lamar ~ DAMN.",206
"2019","Drake ~ Take Care",202
"2017","Kendrick Lamar ~ good kid, m.A.A.d city",200
"2021","Baby Keem ~ The Melodic Blue",197
"2022","Kid Cudi ~ Man On The Moon: The End Of Day",194
"2019","Kendrick Lamar ~ good kid, m.A.A.d city",189
"2022","Baby Keem ~ DIE FOR MY BITCH",186
"2022","Jack Harlow ~ Confetti",183
"2022","Roddy Ricch ~ Please Excuse Me for Being Antisocial",182
"2022","Kendrick Lamar ~ DAMN.",180
"2022","SOB X RBE ~ Black Panther The Album Music From And Inspired By",178
"2019","Travis Scott ~ Rodeo",175
"2022","Frank Ocean ~ Blonde",175
"2021","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",168
"2022","Travis Scott ~ Rodeo",167
"2020","Kanye West ~ Graduation",163
"2021","Travis Scott ~ Birds In The Trap Sing McKnight",163
"2021","Kanye West ~ Graduation",160
"2021","Jack Harlow ~ Thats What They All Say",160
"2019","The Beatles ~ Sgt. Pepper's Lonely Hearts Club Band",155
"2020","Kanye West ~ 808s & Heartbreak",154
