"Year","Album","Plays"
"2018","Nicky Jam ~ Fenix",481
"2018","Ed Sheeran ~ Divide",413
"2022","ODESZA ~ A Moment Apart",382
"2018","Ed Sheeran ~ x",256
"2021","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",216
"2022","Mac Miller ~ Circles",202
"2019","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",201
"2019","Oh Wonder ~ Oh Wonder",189
"2020","Jon Bellion ~ The Human Condition",188
"2019","Quinn XCII ~ The Story of Us",186
"2022","Labrinth ~ Euphoria (Original Score from the HBO Series)",178
"2017","Nicky Jam ~ Fenix",177
"2021","Mac Miller ~ Circles",177
"2019","Ed Sheeran ~ Divide",172
"2018","The Piano Guys ~ The Piano Guys",170
"2019","Khalid ~ Free Spirit",166
"2020","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",165
"2021","Jeremy Zucker ~ love is not dying",165
"2021","Billie Eilish ~ Happier Than Ever",163
"2020","Jeremy Zucker ~ love is not dying",154
"2018","Ed Sheeran ~ +",149
"2019","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",149
"2020","Khalid ~ American Teen",127
"2020","Quinn XCII ~ The Story of Us",126
"2022","Sleeping At Last ~ Atlas: II",125
"2021","The Weeknd ~ Beauty Behind The Madness",123
"2022","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",123
"2022","The Weeknd ~ Beauty Behind The Madness",122
"2021","SYML ~ SYML",121
"2020","Kid Cudi ~ Man On The Moon: The End Of Day",118
"2021","ODESZA ~ A Moment Apart",115
"2022","Pritam ~ Kalank",115
"2020","Pedro Capo ~ Calma",114
"2020","The Weeknd ~ Trilogy",110
"2021","Billie Eilish ~ dont smile at me",110
"2022","Post Malone ~ Stoney",109
"2020","Mauve ~ Just Stay",105
"2022","Daniel Caesar ~ Freudian",104
"2018","The Piano Guys ~ The Piano Guys 2",103
"2021","Shoffy ~ Flash",102
"2022","SZA ~ SOS",102
"2020","Lolo Zouai ~ High Highs to Low Lows",99
"2021","Pritam ~ Kalank",99
"2021","Quinn XCII ~ A Letter To My Younger Self",96
"2021","James Blake ~ Assume Form",95
"2021","Oh Wonder ~ Oh Wonder",95
"2018","Ed Sheeran ~ Perfect",94
"2021","Ed Sheeran ~ Divide",94
"2022","Giveon ~ When It's All Said And Done... Take Time",94
"2022","Sleeping At Last ~ Atlas: I",93
"2019","Pedro Capo ~ Calma",90
"2019","Nidza Bleja ~ Oseti bleju",88
"2021","Khalid ~ American Teen",87
"2019","Khalid ~ Suncity",85
"2020","Quinn XCII ~ From Michigan With Love",85
"2020","Jeremy Zucker ~ brent",84
"2019","Nicky Jam ~ Fenix",83
"2022","Novo Amor ~ Bathing Beach",83
"2019","Peaceful Pianos ~ Music for Concentration",82
"2021","Lauv ~ ~how i'm feeling~",82
"2021","Jaden ~ CTV3: Cool Tape Vol. 3",81
"2022","Billie Eilish ~ Happier Than Ever",81
"2019","The Piano Guys ~ The Piano Guys",80
"2019","Ed Sheeran ~ x",80
"2020","Quinn XCII ~ A Letter To My Younger Self",79
"2020","The Weeknd ~ Starboy",79
"2022","ODESZA ~ The Last Goodbye",79
"2020","Ed Sheeran ~ Divide",78
"2021","Jeremy Zucker ~ summer,",78
"2018","Kygo ~ Stargazing",76
"2021","The Weeknd ~ Trilogy",75
"2019","Quinn XCII ~ Iron & Steel",73
"2021","The Piano Guys ~ The Piano Guys",73
"2021","Jeremy Zucker ~ brent ii",73
"2022","Khalid ~ American Teen",73
"2022","Daniel Caesar ~ CASE STUDY 01",73
"2018","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",72
"2019","ODESZA ~ A Moment Apart",72
"2019","Bazzi ~ COSMIC",72
"2022","Quinn XCII ~ A Letter To My Younger Self",71
"2022","Ed Sheeran ~ Divide",71
"2022","Billie Eilish ~ dont smile at me",71
"2018","6LACK ~ East Atlanta Love Letter",70
"2020","Shoffy ~ Flash",70
"2016","The Weeknd ~ Starboy",69
"2017","The Weeknd ~ Starboy",69
