"Year","Album","Plays"
"2019","Jack Harlow ~ Confetti",960
"2016","Bryson Tiller ~ T R A P S O U L",774
"2017","Travis Scott ~ Birds in the Trap Sing McKnight",735
"2017","Kendrick Lamar ~ DAMN.",718
"2016","Isaiah Rashad ~ Cilvia Demo",679
"2016","Joey Bada$$ ~ B4.DA.$$",644
"2016","Drake ~ Views",634
"2017","Travis Scott ~ Rodeo",619
"2018","Travis Scott ~ ASTROWORLD",609
"2016","Anderson .Paak ~ Malibu",580
"2020","Lil Uzi Vert ~ Eternal Atake",580
"2016","Kendrick Lamar ~ good kid, m.A.A.d city",535
"2018","Jack Harlow ~ Loose",524
"2017","PnB Rock ~ GTTM: Goin Thru the Motions",523
"2016","Chance the Rapper ~ Coloring Book",520
"2020","Lil Baby ~ My Turn",496
"2017","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",477
"2016","J. Cole ~ 2014 Forest Hills Drive",476
"2021","Verzache ~ My Head Is a Moshpit",475
"2017","Bryson Tiller ~ True to Self",470
"2021","Isaiah Rashad ~ The House Is Burning",470
"2016","Mick Jenkins ~ The Water[s]",467
"2022","Tom The Mail Man ~ Sunset Visionary, Vol. 2",463
"2019","Aries ~ WELCOME HOME",459
"2016","Kendrick Lamar ~ Section.80",452
"2017","A$AP Rocky ~ AT.LONG.LAST.A$AP",434
"2020","PARTYNEXTDOOR ~ PARTYMOBILE",430
"2022","Kendrick Lamar ~ Mr. Morale & The Big Steppers",429
"2018","Lil Uzi Vert ~ Luv Is Rage 2",424
"2016","Kendrick Lamar ~ To Pimp a Butterfly",421
"2017","Isaiah Rashad ~ The Sun's Tirade",421
"2021","Tyler, The Creator ~ CALL ME IF YOU GET LOST",408
"2019","NxWorries, Knxwledge, Anderson .Paak ~ Yes Lawd!",404
"2018","Playboi Carti ~ Die Lit",398
"2019","Jack Harlow ~ Loose",395
"2018","Lil Skies ~ Life of a Dark Rose",385
"2017","Isaiah Rashad ~ Cilvia Demo",383
"2016","Kanye West ~ Graduation",380
"2018","Kendrick Lamar ~ DAMN.",378
"2017","Mick Jenkins ~ The Water[s]",374
"2017","Bryson Tiller ~ T R A P S O U L",360
"2016","Frank Ocean ~ Blonde",355
"2016","Vince Staples ~ Summertime '06",354
"2017","Frank Ocean ~ Blonde",351
"2016","Travis Scott ~ Birds in the Trap Sing McKnight",349
"2016","Mick Jenkins ~ The Healing Component",343
"2017","Future ~ HNDRXX",334
"2017","JID ~ The Never Story",334
"2018","Kendrick Lamar, Jay Rock, James Blake, Future ~ Black Panther The Album Music From And Inspired By",330
"2017","Chance the Rapper ~ Coloring Book",324
"2016","Isaiah Rashad ~ The Sun's Tirade",323
"2017","Kendrick Lamar ~ To Pimp a Butterfly",322
"2016","A$AP Rocky ~ LONG.LIVE.A$AP",321
"2017","Mike WiLL Made-It ~ Ransom 2",316
"2018","Travis Scott ~ Birds in the Trap Sing McKnight",315
"2017","ScHoolboy Q ~ Oxymoron",313
"2016","Kanye West ~ The College Dropout",311
"2017","Joey Bada$$ ~ B4.DA.$$",310
"2021","Patrick Cc: ~ Launch Sequence",310
"2022","Koi ~ Trial & Error",299
"2016","A$AP Rocky ~ AT.LONG.LAST.A$AP",294
"2020","Lil Uzi Vert ~ Eternal Atake - LUV vs. The World 2",291
"2018","Mick Jenkins ~ Pieces of a Man",288
"2021","Bryson Tiller ~ A N N I V E R S A R Y",287
"2017","BROCKHAMPTON ~ SATURATION",286
"2018","J. Cole ~ KOD",286
"2020","Radiohead ~ OK Computer",286
"2016","Kanye West ~ Late Registration",285
"2017","Migos ~ Culture",285
"2017","Khalid ~ American Teen",279
"2017","Anderson .Paak ~ Malibu",279
"2018","Juice WRLD ~ Goodbye & Good Riddance",279
"2019","Rich The Kid ~ The World Is Yours 2",279
"2021","Aries ~ BELIEVE IN ME, WHO BELIEVES IN YOU",279
"2018","Mick Jenkins ~ The Water[s]",275
"2016","Kendrick Lamar ~ Overly Dedicated",274
"2022","Brent Faiyaz ~ WASTELAND",274
"2016","Mick Jenkins ~ Wave[s]",271
"2019","Future ~ Future Hndrxx Presents: The WIZRD",271
"2018","Tory Lanez ~ MEMORIES DON'T DIE",269
"2019","Travis Scott ~ ASTROWORLD",266
"2017","Young Thug ~ JEFFERY",262
"2020","Aries ~ WELCOME HOME",262
"2016","J. Cole ~ Born Sinner",261
"2017","Ty Dolla $ign ~ Beach House 3",260
"2017","Kid Cudi ~ Passion, Pain & Demon Slayin'",257
"2020","Roddy Ricch ~ Please Excuse Me For Being Antisocial",256
"2017","Future ~ FUTURE",255
"2022","Smino ~ Luv 4 Rent",255
"2017","Kendrick Lamar ~ good kid, m.A.A.d city",254
"2018","Rich Brian ~ Amen",250
"2018","A$AP Rocky ~ TESTING",250
"2020","A Boogie wit da Hoodie ~ Artist 2.0",250
"2022","Aries ~ BELIEVE IN ME, WHO BELIEVES IN YOU",250
"2016","Kanye West ~ My Beautiful Dark Twisted Fantasy",248
"2018","Flatbush Zombies ~ Vacation In Hell",246
"2019","Gunna ~ Drip or Drown 2",246
"2022","whiterosemoxie ~ HABITS",245
"2017","Jaden ~ SYRE",241
"2020","whiterosemoxie ~ white ceilings",238
"2017","Vince Staples ~ Summertime '06",237
"2016","Joyner Lucas ~ Along Came Joyner",234
"2019","Juice WRLD ~ Death Race for Love",233
"2020","Daniel Caesar ~ CASE STUDY 01",232
"2021","nothing,nowhere. ~ Trauma Factory",232
"2016","Jazz Cartier ~ Hotel Paranoia",227
"2018","Travis Scott ~ Rodeo",227
"2022","whiterosemoxie ~ grae ceilings",226
"2017","Daniel Caesar ~ Freudian",225
"2016","Ty Dolla $ign ~ Free TC",224
"2018","Denzel Curry ~ TA13OO",224
"2017","Drake ~ More Life",223
"2019","Roddy Ricch ~ Please Excuse Me For Being Antisocial",222
"2018","Travis Scott, Quavo, HUNCHO JACK ~ Huncho Jack, Jack Huncho",218
"2021","Grouplove ~ Never Trust a Happy Song",218
"2022","The Weeknd ~ Dawn FM",217
"2017","Kanye West ~ Graduation",214
"2018","Logic ~ Bobby Tarantino II",212
"2019","Mick Jenkins ~ Pieces of a Man",212
"2016","Lil Uzi Vert ~ Lil Uzi Vert Vs. The World",210
"2020","Amine ~ Limbo",210
"2020","Cage the Elephant ~ Melophobia",210
"2019","Playboi Carti ~ Die Lit",209
"2017","Kendrick Lamar ~ Section.80",208
"2020","The Black Keys ~ Brothers",208
"2016","ScHoolboy Q ~ Blank Face LP",205
"2016","Kid Cudi ~ Man On the Moon: The End of Day",205
"2018","Pusha T ~ DAYTONA",205
"2020","Bryson Tiller ~ A N N I V E R S A R Y",205
"2022","Hippo Campus ~ LP3",205
"2022","whiterosemoxie ~ white ceilings",203
"2017","SZA ~ Ctrl",200
"2018","JID ~ DiCaprio 2",200
"2019","Kendrick Lamar ~ To Pimp a Butterfly",200
