"Year","Artist","Plays"
"2018","Ed Sheeran",1059
"2021","Billie Eilish",733
"2022","ODESZA",618
"2021","Jeremy Zucker",562
"2018","Nicky Jam",523
"2020","Quinn XCII",498
"2020","Jeremy Zucker",486
"2019","Nidza Bleja",468
"2019","Quinn XCII",467
"2022","Billie Eilish",418
"2022","The Weeknd",403
"2018","The Piano Guys",399
"2019","Ed Sheeran",386
"2019","Khalid",381
"2020","Mauve",328
"2022","The Piano Guys",325
"2020","Billie Eilish",320
"2022","Pritam",318
"2019","Billie Eilish",314
"2022","Sleeping At Last",310
"2021","Quinn XCII",303
"2022","Mac Miller",298
"2022","SYML",294
"2022","Daniel Caesar",291
"2022","Giveon",283
"2019","Jeremy Zucker",277
"2020","The Weeknd",274
"2021","The Weeknd",271
"2022","Jeremy Zucker",261
"2021","Mac Miller",259
"2022","Post Malone",259
"2018","Billie Eilish",255
"2020","Khalid",249
"2021","Khalid",239
"2022","Khalid",231
"2021","Ed Sheeran",230
"2019","Oh Wonder",229
"2021","Mauve",226
"2017","Nicky Jam",219
"2019","Russ",214
"2020","Kid Cudi",214
"2021","Pritam",212
"2021","SYML",209
"2018","Maluma",198
"2022","SZA",197
"2020","Jon Bellion",196
"2022","Labrinth",195
"2022","Ludovico Einaudi",193
"2018","Jeremy Zucker",188
"2022","Quinn XCII",184
"2021","Petit Biscuit",183
"2021","Ludovico Einaudi",173
"2022","Ed Sheeran",172
"2020","Ed Sheeran",170
"2021","Lofi Fruits Music",164
"2018","Kygo",161
"2019","Lauv",161
"2022","KSHMR",160
"2021","Jaden",158
"2021","ODESZA",158
"2022","Lofi Fruits Music",158
"2021","Shoffy",156
"2019","The Piano Guys",153
"2021","Frank Ocean",152
"2019","Bazzi",150
"2021","Jai Wolf",150
"2019","Herdis Stefansdottir",149
"2021","Daniel Caesar",149
"2022","Pink Sweat$",148
"2021","The Piano Guys",144
"2022","Frank Ocean",144
"2022","Novo Amor",144
"2021","Pink Sweat$",143
"2017","The Weeknd",142
"2019","Nicky Jam",139
"2020","Sarcastic Sounds",139
"2020","Shoffy",138
"2022","Emmit Fenn",138
"2021","ILLENIUM",136
"2021","Louis The Child",136
"2021","Sleeping At Last",136
"2021","Oh Wonder",135
"2022","Louis The Child",135
"2022","Kid Cudi",134
"2020","Lolo Zouai",132
"2020","Oh Wonder",131
"2022","Lucky Daye",131
"2018","XXXTENTACION",130
"2020","Bazzi",129
"2021","Kamal.",127
"2022","James Blake",127
"2021","Kid Cudi",124
"2022","ILLENIUM",124
"2018","Khalid",123
"2021","San Holo",122
"2020","Pritam",121
"2021","Faime",120
"2020","Bruno Major",119
"2020","Pink Sweat$",119
"2021","Kanye West",119
"2020","Pedro Capo",117
"2021","Lauv",116
"2020","Lauv",115
"2022","San Holo",115
"2021","Masego",114
"2022","Jai Wolf",114
"2021","Giveon",112
"2021","James Blake",112
"2020","Chelsea Cutler",110
"2019","ODESZA",109
"2016","The Weeknd",107
"2021","Sarcastic Sounds",106
"2022","Kendrick Lamar",106
"2021","KSHMR",105
"2021","SRTW",105
"2018","Lauv",104
"2020","Avicii",104
"2018","Jason Mraz",103
"2019","CNCO",102
"2019","James TW",101
"2020","SAINt JHN",101
"2022","Arijit Singh",101
"2022","Kanye West",101
"2022","Joji",98
"2018","Martin Garrix",96
"2021","Joji",96
"2019","Mauve",95
"2021","Bruno Major",95
"2019","Pedro Capo",94
"2020","Russ",94
"2019","Maluma",93
"2022","Shoffy",92
"2018","CNCO",90
"2018","James Arthur",90
"2019","Jon Bellion",90
"2019","blackbear",90
"2020","Akon",90
"2022","Lauv",90
"2019","Shawn Mendes",89
"2020","Kanye West",89
"2022","Kygo",89
"2022","Petit Biscuit",88
"2019","Alec Benjamin",87
"2019","Kygo",87
"2018","Rihanna",86
"2020","Matter and Energy",86
"2022","Mauve",86
"2021","Kygo",85
"2022","Bruno Major",85
"2022","Disney Peaceful Piano",85
"2018","6LACK",84
"2019","PRETTYMUCH",84
"2019","Peaceful Pianos",84
"2022","Metro Boomin",84
"2021","Gryffin",83
"2019","XXXTENTACION",82
"2022","Miguel",82
"2019","Whethan",81
"2020","Juice WRLD",81
"2020","Ludovico Einaudi",81
"2021","Anson Seabra",81
"2018","Daddy Yankee",80
"2019","Ariana Grande",79
"2022","Ollie MN",79
"2020","Takagi & Ketra",78
"2021","Novo Amor",78
"2018","Borgeous",77
"2018","Julia Michaels",77
"2019","Avicii",77
"2019","Jason Mraz",77
"2019","Maroon 5",77
"2019","Post Malone",77
"2021","Kina",77
"2022","Emanuel",77
"2022","ODIE",77
"2022","SRTW",77
"2022","Sam Smith",77
"2019","Mitch James",76
"2020","Alan Walker",76
"2020","Daniel Caesar",76
"2020","blackbear",76
"2021","Arijit Singh",76
"2021","Lolo Zouai",76
"2021","keshi",76
"2022","Masego",76
"2019","ayokay",75
"2020","CNCO",75
"2020","Kygo",75
"2021","RINI",75
"2022","Flume",75
"2022","Kasbo",75
"2018","Post Malone",74
"2020","A R I Z O N A",74
"2021","Lewis Capaldi",74
"2019","The Chainsmokers",73
"2020","Train",73
"2021","yaeow",73
"2022","EMBRZ",73
"2022","Shallou",73
"2018","Metro Boomin",72
"2021","Drake",71
"2019","DuyVu",70
"2020","Lewis Capaldi",70
"2020","Naturally Recurring",70
"2020","Nicky Jam",70
"2021","R3HAB",70
"2022","Alina Baraz",70
"2022","Drake",70
"2018","ODESZA",69
"2019","A R I Z O N A",69
"2020","Masego",69
"2018","James TW",68
"2021","Bazzi",68
"2021","Chelsea Cutler",68
"2022","Kamal.",68
"2020","Maluma",67
"2021","Rex Orange County",67
"2019","Lil Ca$h Machine",66
"2019","Martin Garrix",66
"2021","Atif Aslam",66
"2021","Justin Bieber",66
"2022","Jaden",66
"2019","James Arthur",65
"2020","Arlette Leduc",65
"2020","Justin Bieber",65
"2020","Kasbo",65
"2021","Tiesto",65
"2019","Ninho",64
"2020","OneRepublic",64
"2021","6LACK",64
"2021","Avicii",64
"2021","Patrick Watson",64
"2021","Shallou",64
"2022","John Legend",64
"2022","Shawn Mendes",64
"2019","Calum Scott",63
"2019","Why Don't We",63
"2020","Josep Alba",63
"2021","A R I Z O N A",63
"2021","Alexander 23",63
"2021","Jon Bellion",63
"2022","Sia",63
"2018","Sasha Alex Sloan",62
"2020","Lofi Fruits Music",62
"2022","yaeow",62
"2019","Rihanna",61
"2020","Alina Baraz",61
"2020","Luna Meguise",61
"2020","Mac Miller",61
"2021","Alan Walker",61
"2021","Lost Kings",61
"2018","Kanye West",60
"2019","MAX",60
"2020","Mau y Ricky",60
"2020","keshi",60
"2021","Martin Garrix",60
"2021","Verzache",60
"2022","Aries",60
"2019","Chelsea Cutler",59
"2019","Neelson Macias",59
"2020","Christian French",59
"2020","ayokay",59
"2022","Pitbull",59
"2018","Cheat Codes",58
"2018","Marshmello",58
"2018","Mitch James",58
"2020","Drake",58
"2020","Dreamscaper",58
"2020","Maroon 5",58
"2020","SRTW",58
"2021","Sam Smith",58
"2022","Faime",58
"2022","James Arthur",58
"2018","Drake",57
"2019","Sia",57
"2019","The Weeknd",57
