"Year","Artist","Plays"
"2016","Kendrick Lamar",1989
"2017","Kendrick Lamar",1792
"2019","Jack Harlow",1519
"2017","Travis Scott",1384
"2018","Travis Scott",1245
"2016","Kanye West",1195
"2020","Lil Uzi Vert",1131
"2016","Isaiah Rashad",1096
"2016","Mick Jenkins",1081
"2017","Joey Bada$$",1067
"2016","J. Cole",976
"2016","Joey Bada$$",967
"2022","whiterosemoxie",889
"2022","Kendrick Lamar",840
"2017","Bryson Tiller",833
"2017","Isaiah Rashad",829
"2016","Drake",792
"2018","Mick Jenkins",783
"2016","Bryson Tiller",778
"2018","Kendrick Lamar",754
"2021","Isaiah Rashad",748
"2016","Anderson .Paak",726
"2020","Jack Harlow",712
"2017","Future",694
"2017","PnB Rock",687
"2021","Aries",683
"2017","BROCKHAMPTON",641
"2021","Verzache",638
"2021","Mick Jenkins",636
"2018","Lil Uzi Vert",628
"2016","A$AP Rocky",622
"2019","Kendrick Lamar",609
"2019","Aries",599
"2017","Kanye West",580
"2021","Tyler, The Creator",570
"2016","Chance the Rapper",562
"2019","Travis Scott",552
"2018","Jack Harlow",550
"2017","Mick Jenkins",547
"2017","Kid Cudi",544
"2017","A$AP Rocky",526
"2022","Tom The Mail Man",519
"2021","whiterosemoxie",509
"2020","Aries",500
"2016","Kid Cudi",496
"2019","Future",488
"2022","Drake",482
"2022","Joey Bada$$",479
"2017","Young Thug",478
"2022","Aries",477
"2017","ScHoolboy Q",472
"2021","Drake",465
"2018","A$AP Rocky",461
"2020","Lil Baby",460
"2020","Kendrick Lamar",459
"2020","whiterosemoxie",458
"2021","Kanye West",455
"2018","Kanye West",450
"2019","Drake",446
"2019","Mick Jenkins",446
"2022","Mick Jenkins",443
"2021","Bryson Tiller",438
"2018","Drake",434
"2020","PARTYNEXTDOOR",428
"2022","Jack Harlow",427
"2018","J. Cole",425
"2018","Playboi Carti",415
"2017","Frank Ocean",412
"2018","Lil Skies",412
"2020","Future",410
"2016","Frank Ocean",403
"2019","NxWorries, Knxwledge, Anderson .Paak",403
"2018","Earl Sweatshirt",399
"2020","Mick Jenkins",395
"2019","Rich The Kid",393
"2018","BROCKHAMPTON",391
"2019","Young Thug",390
"2021","Jack Harlow",390
"2019","Lil Uzi Vert",388
"2018","Joey Bada$$",383
"2018","Tory Lanez",380
"2021","PARTYNEXTDOOR",378
"2017","A$AP Mob",375
"2018","Logic",373
"2017","Drake",372
"2016","ScHoolboy Q",370
"2017","Ty Dolla $ign",367
"2022","Koi",366
"2018","Trippie Redd",364
"2018","Bryson Tiller",363
"2016","Vince Staples",362
"2020","Bryson Tiller",361
"2022","midwxst",356
"2022","Isaiah Rashad",354
"2022","Lil Uzi Vert",353
"2017","Vince Staples",350
"2018","Vince Staples",350
"2020","The Beatles",347
"2016","Rae Sremmurd",339
"2018","Future",339
"2017","JID",338
"2018","Isaiah Rashad",338
"2016","Danny Brown",336
"2018","Dave East",336
"2017","Lil Uzi Vert",334
"2017","Chance the Rapper",333
"2019","Anderson .Paak",326
"2017","J. Cole",324
"2021","Grouplove",322
"2016","Travis Scott",320
"2018","Juice WRLD",320
"2022","Earl Sweatshirt",318
"2021","Kendrick Lamar",317
"2021","Patrick Cc:",315
"2020","A Boogie wit da Hoodie",314
"2017","Anderson .Paak",313
"2022","Smino",309
"2019","Juice WRLD",297
"2020","Mac Miller",296
"2017","Migos",292
"2017","Mike WiLL Made-It",292
"2022","The Weeknd",292
"2020","Amine",290
"2020","Drake",288
"2020","Radiohead",286
"2017","Khalid",284
"2018","Lil Yachty",282
"2022","Kanye West",281
"2018","Migos",276
"2022","Brent Faiyaz",275
"2020","Juice WRLD",274
"2017","Joyner Lucas",273
"2020","Daniel Caesar",273
"2022","Bryson Tiller",273
"2018","XXXTENTACION",272
"2019","Earl Sweatshirt",271
"2019","Gunna",271
"2019","Joey Bada$$",269
"2019","Playboi Carti",266
"2019","ScHoolboy Q",266
"2018","Flatbush Zombies",265
"2021","Kota the Friend",265
"2019","Smino",264
"2021","Joey Bada$$",263
"2018","JID",260
"2019","Trippie Redd",260
"2019","Isaiah Rashad",259
"2018","Denzel Curry",258
"2020","Roddy Ricch",258
"2021","Lil Uzi Vert",256
"2022","Hippo Campus",253
"2018","Rich Brian",250
"2016","Jazz Cartier",249
"2019","Roddy Ricch",247
"2020","Travis Scott",247
"2021","Amine",242
"2017","Jaden",241
"2016","Joyner Lucas",240
"2016","Ty Dolla $ign",240
"2018","Tee Grizzley",240
"2022","Verzache",240
"2017","Smino",237
"2018","Jazz Cartier",236
"2018","Young Thug",235
"2022","Jonah Zed",234
"2021","nothing,nowhere.",233
"2019","Kanye West",232
"2016","Logic",229
"2020","Cage the Elephant",229
"2016","Lil Uzi Vert",227
"2017","Daniel Caesar",227
"2018","Jaden",225
"2019","Vince Staples",225
"2022","Future",225
"2017","Earl Sweatshirt",223
"2022","Tyler, The Creator",223
"2018","Pusha T",222
"2018","Travis Scott, Quavo, HUNCHO JACK",218
"2020","The Black Keys",217
"2020","Tory Lanez",216
"2022","PARTYNEXTDOOR",215
"2018","Jay Rock",213
"2020","Kota the Friend",212
"2022","Greta Van Fleet",208
"2018","Rich The Kid",207
"2021","Vince Staples",206
"2021","Ramzoid",205
"2022","Dro Kenji",205
"2017","SZA",204
"2018","Post Malone",203
"2022","Tory Lanez",203
"2017","Jazz Cartier",202
"2018","SOB X RBE",202
"2019","J. Cole",201
"2021","ScHoolboy Q",201
"2016","Macklemore & Ryan Lewis",200
"2022","Vince Staples",198
"2021","Mac Miller",197
"2019","Denzel Curry",196
"2021","Kid Cudi",196
"2022","Post Malone",196
"2018","Smino",195
"2017","Big Sean",193
"2016","Flatbush Zombies",192
"2019","Tory Lanez",191
"2021","Future",191
"2021","Jonah Zed",191
"2017","Gucci Mane",189
"2018","Anderson .Paak",188
"2022","Kota the Friend",188
"2017","Playboi Carti",187
"2021","Beach House",186
"2019","Tyler, The Creator",185
"2022","Travis Scott",184
"2018","SiR",182
"2021","Daniyel",182
"2016","The Weeknd",181
"2021","Travis Scott",180
"2017","Tyler, The Creator",179
"2020","Madlib, Freddie Gibbs",179
"2019","A$AP Rocky",178
"2021","BROCKHAMPTON",178
"2018","ScHoolboy Q",175
"2021","Frank Ocean",175
"2022","SZA",175
"2018","Frank Ocean",173
"2019","Kota the Friend",173
"2019","Lil Skies",173
"2017","Lupe Fiasco",172
"2018","Mac Miller",172
"2017","Amine",171
"2018","Swae Lee, Slim Jxmmi, Rae Sremmurd",171
"2020","Anderson .Paak",171
"2020","Joey Bada$$",171
"2020","Lil Uzi Vert, Future",169
"2019","Mac Miller",168
"2020","Isaiah Rashad",168
"2019","Bryson Tiller",167
"2016","A Tribe Called Quest",166
"2016","6LACK",165
"2022","Buddy",165
"2019","A Boogie wit da Hoodie",164
"2022","Gunna",163
"2018","KIDS SEE GHOSTS",162
"2020","Playboi Carti",162
"2022","Saba",162
"2016","Snoop Dogg",161
"2019","Mir Fontane",161
"2020","The Weeknd",161
"2021","J. Cole",161
"2022","Denzel Curry",161
"2016","Dr. Dre",160
"2022","Trippie Redd",160
"2017","NAV",159
"2017","JAY-Z",158
"2016","Childish Gambino",157
"2020","Lil Wayne",156
"2020","Young Thug",156
"2022","Kid Cudi",156
"2017","blackbear",155
"2018","Daniel Caesar",154
"2018","Lil Wayne",154
"2021","Roddy Ricch",152
"2020","The Beach Boys",151
"2021","The Beatles",151
"2018","Mike WiLL Made-It",150
"2020","Knxwledge",149
"2016","Mac Miller",148
"2020","Ramzoid",146
"2022","Young Thug",146
"2017","VIC MENSA",145
"2022","A Boogie wit da Hoodie",145
"2017","Travis Scott, Quavo, HUNCHO JACK",144
"2021","Young Thug",144
"2022","JID",144
"2020","Rich The Kid",143
"2022","Frank Ocean",143
"2018","Kevin Gates",142
"2021","A$AP Rocky",142
"2016","Domo Genesis",141
"2017","2 Chainz",141
"2017","Lil Yachty",141
"2017","XXXTENTACION",141
"2021","Tory Lanez",141
"2022","redveil",141
