"ID","Year","Song","Plays"
"5tsI3xxDHDgzHhn30LTQNz","2019","mike. ~ These Days",134
"0TSyYtpSnQrLqsnbSTALTP","2021","Baby Keem ~ no sense",126
"6ECp64rv50XVz93WvxXMGF","2019","Maroon 5 ~ This Love",125
"6NMtzpDQBTOfJwMzgMX0zl","2020","Travis Scott ~ SKELETONS",125
"131OLY5J8XyfGuSjXRiTRM","2017","Kendrick Lamar ~ HUMBLE.",124
"6NMtzpDQBTOfJwMzgMX0zl","2019","Travis Scott ~ SKELETONS",123
"6MtKObWYda2qnNIpJI21uD","2020","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",116
"3XnkZylcAZ86QAiGVnRVy8","2020","The Weeknd ~ In Your Eyes",115
"4rHZZAmHpZrA3iH5zx8frV","2019","Justin Timberlake ~ Mirrors",111
"20TYNq9o5sdBAbkCWE9ih7","2019","Alina Baraz ~ Electric (feat. Khalid)",106
"2tznHmp70DxMyr2XhWLOW0","2021","Cage The Elephant ~ Cigarette Daydreams",106
"7EiZI6JVHllARrX9PUvAdX","2017","Future ~ Low Life (feat. The Weeknd)",104
"27a1mYSG5tYg7dmEjWBcmL","2019","Travis Scott ~ CAN'T SAY",103
"6sy3LkhNFjJWlaeSMNwQ62","2019","OneRepublic ~ Counting Stars",101
"58TaFP5j5i9swOf584yon2","2019","Travis Scott ~ HOUSTONFORNICATION",100
"4BdGO1CaObRD4La9l5Zanz","2019","Foster The People ~ Sit Next to Me",100
"6Nle9hKrkL1wQpwNfEkxjh","2020","Frank Ocean ~ Chanel",100
"6HZILIRieu8S0iqY8kIKhj","2017","Kendrick Lamar ~ DNA.",98
"31bmr5SE0qrrIPhjGbnwKP","2020","The Weeknd ~ After Hours",98
"5JEx7HbmvHQQswJCsoo9rA","2019","Ellie Goulding ~ Close To Me (with Diplo) (feat. Swae Lee)",96
"3sTN90bIP2cJ1783ctHykO","2019","Mura Masa ~ Love$ick (feat. A$AP Rocky)",94
"5iSEsR6NKjlC9SrIJkyL3k","2021","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",94
"3nAq2hCr1oWsIU54tS98pL","2019","Kanye West ~ Waves",93
"7e9tzvqywrtzSz8GjjCzye","2020","Bryson Tiller ~ Exchange",93
"3pXF1nA74528Edde4of9CC","2020","Bryson Tiller ~ Don't",91
"51EC3I1nQXpec4gDk0mQyP","2019","Travis Scott ~ 90210 (feat. Kacy Hill)",89
"6nO3tr47nr2P7f3hXb8JIo","2019","NAV ~ Champion (feat. Travis Scott)",89
"20MuVazoNMv6xjKPnRFOxG","2019","Travis Scott ~ WAKE UP",89
"1cdC9TCqyLwAlsw3fVJaJS","2021","Kid Cudi ~ Soundtrack 2 My Life",88
"75JFxkI2RXiU7L9VXzMkle","2020","Coldplay ~ The Scientist",87
"3QFInJAm9eyaho5vBzxInN","2022","Baby Keem ~ family ties (with Kendrick Lamar)",87
"6IZvVAP7VPPnsGX6bvgkqg","2019","Kendrick Lamar ~ PRIDE.",85
"2tPcTFiQF9MbVUyjZ3zDhA","2018","SOB X RBE ~ Paramedic!",84
"0LcsvJQSFIQo3RjNhPcYqT","2021","Jack Harlow ~ Luv Is Dro (feat. Static Major & Bryson Tiller)",84
"58k32my5lKofeZRtIvBDg9","2022","Baby Keem ~ HONEST",84
"4aVuWgvD0X63hcOCnZtNFA","2021","TOTO ~ Hold the Line",82
"0rFpcfF0YfvFUYsl99Bw9d","2020","Kid Cudi ~ Soundtrack 2 My Life",81
"4RVbK6cV0VqWdpCDcx3hiT","2020","KIDS SEE GHOSTS ~ Reborn",80
"0VjIjW4GlUZAMYd2vXMi3b","2020","The Weeknd ~ Blinding Lights",78
"1xYpVRspgaLxdJLOTQkTjg","2020","Travis Scott ~ STOP TRYING TO BE GOD",78
"39qRdHcl2tizWbzlM9kUlN","2020","Coldplay ~ What If",78
"7cGFbx7MP0H23iHZTZpqMM","2017","Logic ~ Everybody",77
"51EC3I1nQXpec4gDk0mQyP","2020","Travis Scott ~ 90210 (feat. Kacy Hill)",77
"3KQ1KVG2F8qAospksegrmZ","2020","The Weeknd ~ Alone Again",77
"2ExKb6Ag2WXob6FpkSeXhE","2020","The Weeknd ~ Save Your Tears",77
"5MVMeTkoRywHlZqrQ8vGOs","2017","J. Cole ~ No Role Modelz",76
"26Ke3Jpz2WY7sV1Yojgz2p","2019","Dizaro ~ Sunny Day",76
"10HsXXmKdge6ugPcTolceY","2020","The Weeknd ~ Scared To Live",76
"2AYEOC02WLhUiOoaig2SEH","2021","Fitz and The Tantrums ~ Out of My League",76
"1wHZx0LgzFHyeIZkUydNXq","2020","Travis Scott ~ Antidote",75
"6QdnKD1zwEgyOWtkrdzlOF","2020","The Weeknd ~ Hurt You",75
"1Pyxh8ERS8aouSSOQVvVsz","2021","Bryce Vine ~ Sour Patch Kids",75
"7AzlLxHn24DxjgQX73F9fU","2020","Don Toliver ~ No Idea",74
"5FkoSXiJPKTNyYgALRJFhD","2021","Baby Keem ~ ORANGE SODA",73
"2ihL1KGMA0geIqGT5pkZzo","2021","Jack Harlow ~ WARSAW (feat. 2forwOyNE)",73
"7szuecWAPwGoV1e5vGu8tl","2021","The Weeknd ~ In Your Eyes",72
"7lAK3oHbfEnvUQWosrMMpR","2019","Travis Scott ~ YOSEMITE",71
"5hVghJ4KaYES3BFUATCYn0","2021","Tyler, The Creator ~ EARFQUAKE",71
"2aWVaW1p2kUc5yuKwBmRJi","2021","Jack Harlow ~ I WANNA SEE SOME ASS (feat. jetsonmade)",71
"2QIbiBkgr2pepvCkmWi3Vn","2020","The Weeknd ~ Faith",70
"5WoaF1B5XIEnWfmb5NZikf","2020","Miguel ~ Sky Walker (feat. Travis Scott)",70
"51EC3I1nQXpec4gDk0mQyP","2021","Travis Scott ~ 90210 (feat. Kacy Hill)",70
"0tkBOcK7oRVXQJY97zzSvr","2022","Cage The Elephant ~ Telescope",70
"7BKUWh5sdtdS17crohRe4L","2017","Logic ~ Black SpiderMan",69
"6VRwEqn7BvsN0dChfDrMAf","2019","6ix9ine ~ KIKA",69
"1xYpVRspgaLxdJLOTQkTjg","2019","Travis Scott ~ STOP TRYING TO BE GOD",69
"5WNYg3usc6H8N3MBEp4zVk","2020","Tyler, The Creator ~ Boredom (feat. Rex Orange County & Anna of the North)",69
"7KA4W4McWYRpgf0fWsJZWB","2020","Tyler, The Creator ~ See You Again (feat. Kali Uchis)",69
"7vgTNTaEz3CsBZ1N4YQalM","2021","Kanye West ~ Ghost Town",69
"3sTN90bIP2cJ1783ctHykO","2021","Mura Masa ~ Love$ick (feat. A$AP Rocky)",69
