"ID","Year","Song","Plays"
"6vo7Y1iWyZvpjvFbf6BiZ5","2022","Pritam ~ Kalank (Title Track)",112
"3YPhgbRDotBitv4FQBnoum","2020","Mauve ~ Just Stay",105
"3tJjZMHLqhD8DaGgdBICnc","2022","Sleeping At Last ~ Saturn",86
"6vo7Y1iWyZvpjvFbf6BiZ5","2021","Pritam ~ Kalank (Title Track)",85
"1sjXaEmqj5cRMns8rWYnKe","2021","Shoffy ~ I Can't Help",81
"3m9St7c9tpJwNYN2adNESk","2022","Mac Miller ~ Surf",80
"0SuLAslEMFZAXf0SwY7syi","2020","Jon Bellion ~ All Time Low",79
"35r28RDot7nPE7y9K9H7l0","2022","Post Malone ~ Feeling Whitney",78
"0wcHV7AT77zzyH4ftt11vh","2021","SYML ~ Girl",77
"1UMQ9VXdKGiAHIGD5fWX2B","2019","Quinn XCII ~ Iron & Steel",73
"18uwL0vNUanqZH0ro2QcOP","2019","Jeremy Zucker ~ comethru",73
"34gCuhDGsG4bRPIf9bb02f","2018","Ed Sheeran ~ Thinking out Loud",72
"43zdsphuZLzwA9k4DJhU0I","2021","Billie Eilish ~ when the party's over",72
"2R0FW1n6cOkQDJhAkQENsf","2018","Ed Sheeran ~ Perfect",70
"7wC5eZcFS1Q1BsQ35DU6H4","2022","Billie Eilish ~ come out and play",68
"0LbZdD11qz49uey5wNoxBF","2019","Lil Ca$h Machine ~ Tropical Vibes",66
"5iwz1NiezX7WWjnCgY5TH4","2020","Pedro Capo ~ Calma - Remix",64
"5iwz1NiezX7WWjnCgY5TH4","2019","Pedro Capo ~ Calma - Remix",61
"0V5cvmTKsYmF5FmGGEAfmS","2021","Patrick Watson ~ Je te laisserai des mots",61
"0u2P5u6lvoDfwTYjAADbn4","2018","Billie Eilish ~ lovely (with Khalid)",60
"07ipXN6CNTw34qwSYePKpg","2019","PRETTYMUCH ~ Summer on You",60
"7pt64sepCy5QmDrgy9wOJS","2021","Kamal. ~ blue",60
"2XyNLoEWc4IDt9OVzXZUXl","2022","ODESZA ~ It's Only (feat. Zyra) - ODESZA VIP Remix",60
"7qCAVkHWZkF44OzOUKf8Cr","2018","Nicky Jam ~ El Perdon (with Enrique Iglesias)",58
"1bKl5tYldxAHsdKJhWnEgQ","2022","ODESZA ~ Corners Of The Earth (feat. RY X)",58
"7cM9Kqto11iJpY2RwgVJSq","2019","Quinn XCII ~ Flare Guns",57
"4RtexJZ1OyRkDNlqVUt8Zt","2019","Quinn XCII ~ Panama",57
"0t488LlnuTDRjklgkotom9","2022","Jai Wolf ~ Indian Summer",57
"3umS4y3uQDkqekNjVpiRUs","2018","Nicky Jam ~ El Amante",56
"2EEmzqzM70CybVspgM7YRT","2020","Mau y Ricky ~ La Boca - Remix",55
"1T575AhHueYinKSDflEsGK","2018","Julia Michaels ~ Heaven",53
"4aSfgWmRa9KsISD4Jmx7QB","2018","Kygo ~ This Town (feat. Sasha Alex Sloan)",53
"4KnnWpUyPfQD6X5SQSTlH3","2018","Daniel Schulz ~ Turn Back Time",53
"2Fxmhks0bxGSBdJ92vM42m","2019","Billie Eilish ~ bad guy",53
"43vJhPJKdY2aLz7bODyrtg","2020","LEON ~ You And I - SAINT WKND Remix",53
"18uwL0vNUanqZH0ro2QcOP","2021","Jeremy Zucker ~ comethru",53
"7qH9Z4dJEN0l9bidizW7fq","2022","Novo Amor ~ Anchor",53
"3S3eEF7z4kBXmw7kSZDHAc","2022","SYML ~ Here Comes the Sun",53
"2WWfjbHALIb3e7FMcj9mr4","2022","ODESZA ~ Line Of Sight (feat. WYNNE & Mansionair)",52
"7vGuf3Y35N4wmASOKLUVVU","2018","Marshmello ~ Silence",51
"1EzrEOXmMH3G43AXT1y7pA","2019","Jason Mraz ~ I'm Yours",51
"1yaWRS9r2woTNmJpCKd5l9","2020","Quinn XCII ~ Two 10s",51
"2NeM9rfWo70KQej9GxeaoL","2021","SYML ~ Where's My Love",51
"18uwL0vNUanqZH0ro2QcOP","2022","Jeremy Zucker ~ comethru",51
"4q1WaJZoHTtojqDHX8QvaC","2018","VAX ~ Fireproof (feat. Teddy Sky)",50
"4VuS959DSpr82t3qBqCrWG","2018","Ed Sheeran ~ Supermarket Flowers",50
"47hZWKFZVqF2wvHDIFhgcU","2020","Mauve ~ Easy to Adore You",50
"0hNduWmlWmEmuwEFcYvRu1","2021","Petit Biscuit ~ Sunset Lover",50
"4NU4ZK3ncM05KPUc8JSuQ5","2021","Jaden ~ Circa 2015",49
