"ID","Year","Song","Plays"
"-1418794139648741439","2017","Travis Scott ~ 90210 (feat. Kacy Hill)",123
"-2934231020509623613","2019","Jack Harlow ~ ROTTEN (feat. EST Gee)",118
"-6970256401839895317","2019","Jack Harlow ~ WARSAW (feat. 2forwOyNE)",112
"5872292946386908664","2021","Aries ~ DITTO",105
"3117368871850072767","2020","Aries ~ FOOL'S GOLD",103
"8306112897033176785","2021","Jonah Zed ~ Horizons",100
"-2717294442064354602","2019","Jack Harlow ~ SUNDAY NIGHT",99
"2254605089718199087","2016","Joey Bada$$ ~ Christ Conscious",98
"-53022503058996776","2016","Bryson Tiller ~ Exchange",96
"-5382259138840333357","2019","Aries ~ SANTA MONICA",96
"7948414227281335213","2016","J. Cole ~ Apparently",94
"-3296127792633454871","2022","tsubi club ~ Burbank House",94
"1315809098859326988","2019","Jack Harlow ~ RIVER ROAD",91
"2184163662763104914","2019","Aries ~ CAROUSEL",90
"5854717422762308582","2019","Jack Harlow ~ GHOST",90
"741023671067484422","2017","Kendrick Lamar ~ DNA.",88
"2326231201106999622","2016","Bryson Tiller ~ Let Em' Know",86
"-9203341155707195814","2016","Joey Bada$$ ~ Paper Trail$",84
"8306262956060764321","2016","Chance the Rapper ~ Angels (feat. Saba)",82
"6651481132368300815","2019","Jack Harlow ~ HEAVY HITTER",82
"-5456061980752331959","2016","Bryson Tiller ~ Don't",81
"-8123754694670799388","2016","Bryson Tiller ~ Sorry Not Sorry",81
"2472425142014056981","2016","A$AP Rocky ~ 1Train (feat. Kendrick Lamar, Joey Badass, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",80
"-1202500470013175319","2017","Travis Scott ~ sweet sweet",80
"-917286455971186675","2021","Verzache ~ Messed Up",79
"2901157007245517625","2022","Tom The Mail Man ~ Holdin On",77
"-3583902382506912649","2017","PnB Rock ~ Selfish",76
"1606956985629837893","2017","Travis Scott ~ goosebumps",75
"7515760268527459906","2021","Isaiah Rashad ~ HB2U",74
"7080697987254583559","2017","Kendrick Lamar ~ HUMBLE.",73
"-8122392002102741926","2018","Travis Scott ~ SICKO MODE",73
"451889194696612849","2021","Patrick Cc: ~ Sherbs (feat. Koi & Voda Fuji)",73
"-3221168857723681928","2016","Isaiah Rashad ~ Shot You Down (feat. Jay Rock & ScHoolboy Q)",72
"1318129283362001006","2019","Jack Harlow ~ ICE",72
"-1202929444212598654","2020","Bryson Tiller ~ Sorrows",72
"-4949829197374701183","2017","Travis Scott ~ Oh My Dis Side (feat. Quavo)",71
"-3077156318227729429","2017","Travis Scott ~ way back",71
"-7328156573065648902","2019","Future ~ March Madness",71
"9098219274373916532","2022","whiterosemoxie ~ Coco Puffs",71
"-5961535894730445826","2022","Tom The Mail Man ~ Mood Swings",71
"-482023986002900585","2019","Aries ~ SAYONARA",70
"-2359101675008600958","2017","Young Thug, Travis Scott ~ pick up the phone",69
"-774188209509839679","2017","Travis Scott ~ the ends",69
"-9060615071802939509","2018","Jack Harlow ~ 9TH GRADE",69
"8666796965856877547","2016","Domo Genesis ~ Dapper (feat. Anderson .Paak)",68
"7948653894195007978","2016","Bryson Tiller ~ Rambo",68
"-7690100959764339411","2019","NxWorries, Knxwledge, Anderson .Paak ~ What More Can I Say",68
"-7112868873506923562","2020","Aries ~ CAROUSEL",68
"6217090014475830703","2018","Kendrick Lamar, Jay Rock, James Blake, Future ~ King's Dead",67
"1462605836966659641","2019","ScHoolboy Q ~ Numb Numb Juice",67
"6937971165476199198","2021","Athan ~ Lifeless",67
"-8336684601563844610","2022","Patrick Cc:, Jonah Zed ~ Reckless",67
"-1781819309166782707","2016","Mick Jenkins ~ The Waters",66
"-7833673739409066968","2019","Jack Harlow ~ GOIN BACK DOWN",66
"-5888368719227366242","2019","Jack Harlow ~ BIG CHILLIN",65
"9171225769501596298","2019","Jack Harlow ~ THRU THE NIGHT (feat. Bryson Tiller)",65
"6579028519137505679","2016","Kendrick Lamar ~ Sing About Me, I'm Dying of Thirst",64
"8812983542193054094","2017","Joey Bada$$ ~ TEMPTATION",64
"4199212795329219869","2018","Kendrick Lamar ~ DNA.",64
"4128049354129243301","2017","Travis Scott ~ beibs in the trap",63
"-4949905614441287635","2018","Lil Skies ~ Red Roses (feat. Landon Cube)",63
"-7186571647103326796","2019","Jack Harlow ~ SYLVIA (feat. 2forwOyNE)",63
"8377172867818893796","2019","Jack Harlow ~ WALK IN THE PARK",63
"-8050743871628674212","2016","Travis Scott ~ wonderful",62
"-6246679602078833735","2020","PARTYNEXTDOOR ~ EYE ON IT",62
"3408787039908536772","2016","J. Cole ~ Fire Squad",61
"-7257940887428890016","2016","Bryson Tiller ~ Intro (Difference)",61
"4054457928793596501","2016","Anderson .Paak ~ The Waters (feat. BJ the Chicago Kid)",61
"-5458332035141441819","2017","Kendrick Lamar ~ LOVE. (FEAT. ZACARI.)",61
"1388540299983835343","2018","Lil Uzi Vert ~ Dark Queen",61
"8306258763419612979","2018","Jack Harlow ~ SYLVIA (feat. 2forwOyNE)",61
"5786498528059242515","2019","Rich The Kid ~ Splashin",61
"-8770792410041532283","2016","Isaiah Rashad ~ Ronnie Drake (feat. SZA)",60
"-4087391519731806068","2016","Mick Jenkins ~ Jazz",59
"8523623647980452989","2016","6LACK ~ Prblms",59
"-412659001167456275","2017","Kendrick Lamar ~ DUCKWORTH.",59
"-5673602571848766097","2019","Aries ~ BAD NEWS",59
"-3511345424060281971","2016","Isaiah Rashad ~ Modest",58
"8667778597128038974","2016","Isaiah Rashad ~ R.I.P. Kevin Miller",58
"-2140853850775393668","2017","Kendrick Lamar ~ ELEMENT.",58
"1171071103250069204","2019","Aries ~ DEITY",58
"7657875641467999034","2019","Aries ~ RACECAR",58
"-5961729259177078119","2016","Kendrick Lamar ~ Poe Mans Dreams (His Vice) [feat. GLC]",57
"237320008677097633","2017","Travis Scott ~ Butterfly Effect",57
"5931043432346226001","2017","Kendrick Lamar ~ XXX. (FEAT. U2.)",57
"6217790361352907593","2018","Travis Scott ~ sweet sweet",57
"-1638740098362051567","2020","PARTYNEXTDOOR ~ ANOTHER DAY",57
"8380455855942822616","2021","No Fun Haus ~ Falling Down",57
"4128828714567735580","2021","Aries ~ KIDS ON MOLLY",57
"-4809090435187478308","2022","Tom The Mail Man ~ Destroyed",57
"5642466977215500122","2016","Chance the Rapper ~ All We Got (feat. Kanye West & Chicago Children's Choir)",56
"-7474616149732300770","2016","Isaiah Rashad ~ Heavenly Father",56
"-771258862019519617","2016","Kendrick Lamar ~ i",56
"2976396861171126306","2018","Travis Scott ~ STARGAZING",56
"-987804768053371250","2019","Jack Harlow ~ RAIN",56
"-3436946817090744002","2020","Lil Uzi Vert ~ Chrome Heart Tags",56
"1819869036782104634","2020","Radiohead ~ Paranoid Android",56
"6503284862149404872","2021","Tyler, The Creator ~ SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)",56
"2109339830572905115","2016","Danny Brown ~ 30",55
"957243205206641281","2016","Kendrick Lamar ~ Ignorance Is Bliss",55
"-6682624358251361122","2016","Rae Sremmurd ~ Look Alive",55
"22352661643645789","2016","Mick Jenkins ~ Spread Love",55
"-3581275717128401896","2017","Travis Scott ~ 3500 (feat. Future & 2 Chainz)",55
"-4521395419014468186","2017","Joey Bada$$ ~ DEVASTATED",55
"21623969741883031","2017","Kendrick Lamar ~ FEAR.",55
"7083355610053763616","2018","Slim Jxmmi ~ Brxnks Truck (feat. Rae Sremmurd)",55
"5423697750558844137","2018","Pusha T ~ The Games We Play",55
"8592993618108274148","2019","Future ~ Crushed Up",55
"8017408286758531387","2021","Verzache ~ Evil",55
"-5169316461321195145","2021","nothing,nowhere. ~ nightmare",55
"7299306543608980925","2016","Joey Bada$$ ~ Big Dusty",54
"5208279393582725718","2016","Rick Ross, Kanye West ~ Devil In a New Dress (feat. Rick Ross)",54
"-1708810716623501423","2016","A$AP Rocky ~ Goldie",54
"163605628616819296","2016","Chance the Rapper ~ No Problem (feat. Lil Wayne & 2 Chainz)",54
"5495887807270004239","2016","Odd Future ~ Oldie",54
"-196421098546506194","2016","Anderson .Paak ~ The Season / Carry Me",54
"1604473172995758396","2017","Young Thug ~ Wyclef Jean",54
"2904457142106197245","2019","whiterosemoxie ~ whitegold",54
"7804708236680284949","2020","Future ~ Life Is Good (feat. Drake)",54
"-8914965041930906907","2022","Tom The Mail Man ~ NOTHINGTOLOSE",54
"-8625318098461647379","2016","Bryson Tiller ~ 502 Come Up",53
"-6899363710445046891","2016","J. Cole ~ January 28th",53
"-4230944050937860719","2016","Isaiah Rashad ~ West Savannah (feat. SZA)",53
"-6464962299015640527","2018","J. Cole ~ KOD",53
"3767914999874144515","2021","DJ Dahi, Brent Faiyaz ~ Gravity (feat. Tyler, The Creator)",53
"6939483079128195632","2016","Kendrick Lamar ~ Swimming Pools (Drank)",52
"1170991039470089861","2017","Kid Cudi ~ Baptized in Fire (feat. Travis Scott)",52
"7011793835184926733","2017","Travis Scott ~ coordinate",52
"6359119778427203074","2018","Juice WRLD ~ Lucid Dreams",52
"-9059282212985180739","2021","Aries ~ FOOL'S GOLD",52
"1101829273088157777","2022","whiterosemoxie ~ CALL!",52
"-1925133622610247573","2016","Isaiah Rashad ~ Banana",51
"-6826438876793690431","2016","Isaiah Rashad ~ Free Lunch",51
"5495320090621749729","2016","Jretro ~ I Am the Greatest",51
"7081915973971471710","2016","Mick Jenkins ~ P's & Q's",51
"2255848558100377026","2017","Joey Bada$$ ~ LAND OF THE FREE",51
"-4157954854387871686","2018","JID ~ 151 Rum",51
"-4808008013997186134","2020","Aries ~ CONVERSATIONS",51
"-3296207749895440846","2021","Bryson Tiller ~ Losing Focus",51
"-8484438322794910025","2021","whiterosemoxie ~ Ring The Alarm",51
"-2643625232569219774","2016","Kendrick Lamar ~ Bitch, Don't Kill My Vibe",50
"-6754109145625509505","2016","Earl Sweatshirt ~ Chum",50
"1963615004686266121","2016","J. Cole ~ She Knows (feat. Amber Coffman & Cults)",50
"4343838726531960766","2017","PnB Rock ~ Heart Racin'",50
"237668401387629198","2018","Lil Skies ~ Nowadays (feat. Landon Cube)",50
"6649725540041747971","2019","Travis Scott ~ HOUSTONFORNICATION",50
"-6250519406340440060","2019","Smino ~ Trina",50
"1391446298547260058","2020","Lil Uzi Vert ~ Prices",50
"7584272958356481385","2022","Kendrick Lamar, Blxst, Amanda Reifer ~ Die Hard",50
"-3007060488135333943","2016","Frank Ocean ~ Nights",49
"237252908386828198","2016","Vince Staples ~ Norf Norf",49
"7945486275946661893","2016","Kendrick Lamar ~ Wesley's Theory (feat. George Clinton & Thundercat)",49
"-5021689589150469961","2017","A$AP Rocky ~ Jukebox Joints (feat. Joe Fox x Kanye West)",49
"-5530156344264630022","2017","Kendrick Lamar ~ PRIDE.",49
"-4951352580856588692","2019","Jack Harlow ~ KNACK FOR IT",49
"7083221222878233255","2021","Verzache ~ Kick It",49
